transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
4d4470a2-1eaf-434a-9525-4d42cd547c24,EMP15141,PCCU-JLND-7D3-CON-1,transfer,2843.44,,,IT37S5957432171021611647513354,IT93M0792289101050089159947,8811.56,Salary payment Jan,2087-01-01T09:20:29
de7e1734-77fa-4aac-b930-d343894efdd6,EMP91895,RSMN-MXMA-7FF-MUN-0,transfer,5625.40,,,IT40U6202967807563757617251556,DE02A0525714154438972242241,34709.90,Salary payment Jan,2087-01-01T09:49:55
9f303b89-f321-4fdb-ab10-f1bb01b85a11,EMP84616,HNDA-FRNJ-80B-USL-1,transfer,107.74,,,IT97I8611166697115666176281006,DE36Q4220005185101415884615,522.82,Salary payment Jan,2087-01-01T10:50:15
daf8ee1a-df79-4cee-ad44-f7d8734e34b2,THRR-NNAE-7FC-PAR-1,IMMO77506,transfer,2880.21,,,FR87J5326448215127010563993,IT21H8173157193946652631799324,53023.62,Rent payment Jan - Property Hub,2087-01-01T10:57:40
a0465c65-938a-48d8-9600-647eb3e7b393,PRST-KTAI-7F5-GIL-0,CASE73261,transfer,804.72,,,GB28G9159498862960855896140,IT72H3278136660368845785770707,15453.81,Rent payment Jan - Rental Management,2087-01-01T11:42:37
574c3e54-bc83-4d61-b13c-670b7f6c7d51,EMP44854,WRGH-DMNQ-809-MIA-0,transfer,1244.25,,,IT33R2866538061451381126952930,US54S3934719655943381758243,5163.53,Salary payment Jan,2087-01-01T17:54:11
896df54b-8eda-47bc-8417-c5a32eac955e,EMP75550,DYLO-DNLL-7CF-WAL-0,transfer,3007.95,,,IT83Q9077737347278550421165612,GB45U0464355260834629819689,13247.77,Salary payment Jan,2087-01-01T18:57:23
47ab1c58-ab43-4745-b495-c5b584318814,PKRT-BNCI-812-PAP-1,HOME13152,transfer,99.90,,,DE52F5969669292254149469487,IT57Z6657784576422169476387777,638.86,Rent payment Jan - Rental Management Papenburg,2087-01-02T11:04:03
4fda9edd-68aa-40bb-95e1-d23f31fa5a61,HRDN-LNEI-7FC-UXB-1,CASE12256,transfer,1012.15,,,GB55U4362325678317408008363,IT56U4396401764493571782319961,15723.45,Rent payment Jan - Housing Partners Uxbridge,2087-01-02T11:26:54
2936063c-2b4e-498e-955c-130e00788314,EMP42171,HRDN-LNEI-7FC-UXB-1,transfer,3202.63,,,IT51N3001779253282451492704149,GB55U4362325678317408008363,18926.08,Salary payment Jan,2087-01-02T11:58:47
eccbbc56-ba2b-4a9d-bc0b-bb20219c5610,EMP47497,STNB-CHRS-80A-ISM-1,transfer,427.57,,,IT94Y4389822821546891812288339,DE47P2905188266201504991052,3584.55,Salary payment Jan,2087-01-02T14:31:16
3cf6590a-e2d4-4ddd-a339-d24629208923,DYLO-DNLL-7CF-WAL-0,PROP74924,transfer,902.74,,,GB45U0464355260834629819689,IT81X1122863336441850920027240,12345.03,Rent payment Jan - Housing Partners,2087-01-02T14:59:09
304fdb35-edaf-4a9f-baca-93ac5a02483a,EMP85318,THRR-NNAE-7FC-PAR-1,transfer,9016.19,,,IT92I6941218150189026746734316,FR87J5326448215127010563993,62039.81,Salary payment Jan,2087-01-02T15:08:02
de34eee3-4c9a-452f-9512-e510da634a87,PCCU-JLND-7D3-CON-1,IMMO77340,transfer,147.26,,,IT54R1688506880963795765949525,IT94T9683455253265756484865155,1131.62,Rent payment Jan - Stanza Agency Conegliano,2087-01-02T16:22:02
add9b062-3f5f-4d82-8b88-a573e27ea23c,EMP28726,PCRD-CHRL-7F9-GRA-0,transfer,5241.42,,,IT62G3003753406272636892003911,FR39O4758880918977791586173,22440.71,Salary payment Jan,2087-01-02T17:10:43
39dbe6aa-67b1-4224-ba0d-c323a732c9ce,BRSL-MRGH-80A-ROM-0,,in-person payment,46.81,Rome - Pantheon Coffee House,Google Pay,IT37M8737377314188313456118,IT33T3809433746806200381711679,10804.36,,2087-01-03T09:04:58
cd8aecdc-b880-4cfe-a3f0-777859883e80,STNB-CHRS-80A-ISM-1,APP59147,transfer,153.79,,,DE47P2905188266201504991052,IT16L2843737545879817568189653,3430.76,Rent payment Jan - Housing Partners Ismaning,2087-01-03T09:34:34
c4e61281-2ba6-425f-91b3-b0ce970504de,EMP92330,WLSN-MRKA-800-DAL-0,transfer,3066.53,,,IT89A7952770176895670578144655,US55Z2018371668103325517950,19638.28,Salary payment Jan,2087-01-03T09:35:04
c9798b8d-ccf1-4a98-aef6-596e5509ab87,EMP73092,BRYA-BRNR-7FC-BOR-1,transfer,9585.66,,,IT14C1684076284487068851174739,FR16S4525974336220711169851,55363.30,Salary payment Jan,2087-01-03T09:53:26
91902f2d-a666-4039-8795-16744c96d5de,WRGH-DMNQ-809-MIA-0,HOME56735,transfer,460.89,,,US54S3934719655943381758243,IT54C2867581941260638209642172,4702.64,Rent payment Jan - Home Living,2087-01-03T10:57:58
3ee86aaf-de91-4ba0-aadc-488c0b63b57a,EMP16390,PRST-KTAI-7F5-GIL-0,transfer,3460.40,,,IT22K6278637812080062285508190,GB28G9159498862960855896140,18914.21,Salary payment Jan,2087-01-03T13:46:16
aca6ed90-0f85-42b1-9839-380d97bfc1f0,RSMN-MXMA-7FF-MUN-0,,in-person payment,91.35,Munich - Marienplatz Coffee Co,smartwatch,DE02A0525714154438972242241,IT59H8021429210244359238286812,34618.55,,2087-01-03T13:46:50
